User ID,Gender,Age,EstimatedSalary,Purchased
15624497,Male,19,19950,0
15810931,Male,35,21000,0
15668562,Female,26,45150,0
15603233,Female,27,59850,0
15803989,Male,19,79800,0
15728760,Male,27,60900,0
15598031,Female,27,88200,0
15694816,Female,32,157500,1
15600562,Male,25,34650,0
15727298,Female,35,68250,0
15570756,Female,26,84000,0
15606261,Female,26,54600,0
15746126,Male,20,90300,0
15704974,Male,32,18900,0
15628959,Male,18,86100,0
15697673,Male,29,84000,0
15733870,Male,47,26250,1
15617469,Male,45,27300,1
15704570,Male,46,29400,1
15621070,Female,48,30450,1
15649474,Male,45,23100,1
15736747,Female,47,51450,1
15714645,Male,48,43050,1
15599068,Female,45,23100,1
15705100,Male,46,24150,1
15631146,Male,47,21000,1
15792805,Male,49,29400,1
15633518,Female,47,31500,1
15744516,Male,29,45150,0
15669643,Male,31,18900,0
15581185,Male,31,77700,0
15729041,Female,27,143850,1
15573439,Female,21,16800,0
15776720,Female,28,46200,0
15724845,Male,27,94500,0
15713131,Male,35,28350,0
15690175,Female,33,29400,0
15689412,Male,30,51450,0
15671753,Female,26,75600,0
15782793,Female,27,32550,0
15764406,Female,27,17850,0
15591902,Female,33,53550,0
15772785,Male,35,113400,0
15791995,Male,30,15750,0
15715528,Female,28,88200,0
15639264,Male,23,21000,0
15798837,Male,25,82950,0
15776335,Female,27,56700,0
15727683,Male,30,141750,1
15793800,Female,31,93450,0
15694382,Female,24,33600,0
15764182,Female,18,46200,0
15744906,Female,29,87150,0
15671642,Female,35,24150,0
15654888,Female,27,60900,0
15649123,Female,24,57750,0
15775549,Female,23,50400,0
15807468,Male,28,82950,0
15642872,Male,22,18900,0
15789096,Female,32,122850,0
15813991,Male,27,21000,0
15673606,Male,25,91350,0
15595122,Female,23,69300,0
15583668,Male,32,126000,1
15604987,Female,59,87150,0
15718058,Male,24,60900,0
15679747,Male,24,19950,0
15654561,Female,23,86100,0
15577165,Female,22,66150,0
15595311,Female,31,71400,0
15756919,Male,25,84000,0
15726345,Female,24,28350,0
15595215,Female,20,24150,0
15782517,Female,33,118650,0
15592864,Male,32,18900,0
15651970,Male,34,117600,1
15746724,Male,18,54600,0
15774166,Female,22,28350,0
15667252,Female,28,91350,0
15655110,Female,26,17850,0
15595904,Male,30,84000,0
15668372,Male,39,44100,0
15709463,Male,20,51450,0
15711205,Male,35,92400,0
15798646,Female,30,65100,0
15663926,Female,31,123900,1
15694933,Male,24,57750,0
15631899,Female,28,89250,0
15768803,Male,26,85050,0
15682255,Male,35,52500,0
15684788,Male,22,85050,0
15636415,Female,30,121800,0
15809810,Male,26,15750,0
15699271,Female,29,29400,0
15786980,Female,29,87150,0
15709428,Female,35,46200,0
15710244,Female,35,26250,0
15582479,Male,28,129150,1
15575681,Male,35,76650,0
15756807,Female,28,38850,0
15766276,Male,27,92400,0
15593001,Male,28,61950,0
15584532,Female,32,90300,0
15675936,Female,33,156450,1
15672078,Female,19,22050,0
15801645,Male,21,75600,0
15706172,Female,26,36750,0
15789850,Male,27,93450,0
15720930,Male,26,90300,0
15697984,Female,38,84000,0
15665403,Female,39,74550,0
15660187,Female,37,74550,0
15619640,Male,38,64050,0
15773434,Male,37,57750,0
15739147,Male,42,84000,0
15689224,Male,40,59850,0
15679284,Male,35,78750,0
15591420,Male,36,54600,0
15642712,Male,40,61950,0
15701949,Male,41,61950,0
15811600,Female,36,78750,0
15741036,Male,37,75600,0
15724410,Female,40,78750,0
15574292,Male,35,55650,0
15678155,Female,41,53550,0
15697007,Female,39,64050,0
15610788,Male,42,68250,0
15745219,Male,26,33600,0
15722745,Male,30,17850,0
15792089,Female,26,88200,0
15675172,Male,31,60900,0
15801234,Male,33,32550,0
15725647,Male,30,91350,0
15638950,Female,21,71400,0
15800048,Female,28,57750,0
15577993,Male,23,66150,0
15668491,Female,20,86100,0
15687478,Male,30,112350,1
15610390,Female,28,61950,0
15741081,Male,19,26250,0
15807896,Male,19,89250,0
15666128,Female,18,71400,0
15617121,Male,35,61950,0
15783016,Male,30,93450,0
15622820,Female,34,26250,0
15746409,Female,24,93450,0
15750826,Female,27,100800,1
15749117,Female,41,31500,0
15779849,Male,29,64050,0
15767858,Male,20,77700,0
15679638,Female,26,15750,0
15576206,Male,41,47250,0
15699234,Male,31,79800,0
15619074,Female,36,52500,0
15605314,Male,40,49350,0
15610127,Female,31,15750,0
15791161,Male,46,61950,0
15602360,Male,29,78750,0
15762592,Male,26,31500,0
15598827,Female,32,141750,1
15744266,Male,32,105000,1
15670606,Male,25,94500,0
15599520,Female,37,34650,0
15757824,Male,35,39900,0
15697561,Female,33,72450,0
15578725,Female,18,90300,0
15762215,Female,22,57750,0
15614814,Female,35,74550,0
15789802,Male,29,155400,1
15579768,Female,29,49350,0
15587000,Male,21,92400,0
15570919,Male,34,120750,0
15794648,Female,26,123900,0
15581641,Female,34,45150,0
15644283,Female,34,75600,0
15614407,Female,23,29400,0
15609640,Female,35,49350,0
15594564,Male,25,23100,0
15584101,Male,24,24150,0
15673354,Female,31,35700,0
15685563,Male,26,16800,0
15774714,Female,31,74550,0
15694275,Female,32,122850,1
15603306,Male,33,45150,0
15759053,Female,33,63000,0
15814803,Male,31,69300,0
15724389,Female,20,86100,0
15571046,Female,33,43050,0
15674193,Male,35,75600,0
15715147,Male,28,33600,0
15730435,Male,24,88200,0
15662054,Female,19,27300,0
15779568,Male,29,45150,0
15662888,Male,19,73500,0
15689738,Male,28,93450,0
15667729,Male,34,45150,0
15738435,Female,30,82950,0
15680230,Female,20,37800,0
15745070,Male,26,84000,0
15708215,Male,35,23100,0
15628510,Male,35,40950,0
15708183,Male,49,77700,0
15735536,Female,39,140700,1
15809334,Female,41,74550,0
15660853,Female,58,106050,1
15766596,Female,47,49350,0
15654217,Female,55,136500,1
15794553,Female,52,119700,0
15800877,Female,40,149100,1
15697411,Female,46,23100,0
15724523,Female,48,100800,1
15735865,Male,52,157500,1
15707583,Female,59,44100,0
15657150,Male,35,60900,0
15622465,Male,47,45150,0
15779516,Female,60,113400,1
15636010,Male,49,68250,0
15582053,Male,40,81900,0
15666662,Female,46,100800,0
15732974,Male,59,150150,1
15789419,Female,41,84000,0
15663148,Male,35,95550,1
15694866,Male,37,151200,1
15593702,Male,60,107100,1
15574989,Female,35,63000,0
15622158,Male,37,55650,0
15795211,Female,36,132300,1
15685333,Male,56,139650,1
15691795,Female,40,75600,0
15720994,Female,42,84000,1
15794240,Female,35,154350,1
15694440,Male,39,44100,0
15813100,Male,40,112350,1
15614174,Male,49,90300,1
15619394,Female,38,117600,0
15646214,Male,46,82950,1
15660528,Male,40,59850,0
15753861,Female,37,84000,0
15617864,Female,46,86100,0
15772060,Female,53,150150,1
15701524,Male,42,156450,1
15736215,Male,38,61950,0
15780559,Female,50,92400,1
15769583,Female,56,109200,1
15586983,Female,41,75600,0
15722048,Female,51,153300,1
15637990,Female,35,52500,0
15775577,Female,57,128100,1
15730675,Male,41,54600,0
15753089,Female,35,101850,1
15810062,Female,44,40950,0
15723360,Male,37,54600,0
15795285,Female,48,140700,1
15584307,Female,37,153300,1
15724148,Female,50,46200,0
15750043,Female,52,94500,1
15609624,Female,41,75600,0
15794480,Male,40,59850,0
15569628,Female,58,99750,1
15815223,Female,45,137550,1
15811164,Female,35,80850,0
15680574,Male,36,151200,1
15672808,Female,55,131250,1
15767668,Female,35,75600,0
15600366,Male,48,94500,1
15801323,Female,42,113400,1
15721579,Male,40,78750,0
15581269,Male,37,77700,0
15746190,Female,47,151200,1
15583124,Male,40,64050,0
15680739,Female,43,139650,0
15688159,Female,59,79800,1
15791360,Male,60,44100,1
15589436,Male,39,111300,1
15692806,Female,57,27300,1
15727454,Male,57,77700,1
15734299,Male,38,74550,0
15764591,Male,49,92400,1
15613001,Female,52,39900,1
15759671,Female,50,37800,1
15609656,Female,59,92400,1
15685523,Male,35,64050,0
15750434,Male,37,73500,1
15663236,Female,52,22050,1
15638633,Male,48,148050,0
15734148,Female,37,97650,1
15631057,Female,37,65100,0
15761937,Female,48,144900,1
15649655,Male,41,82950,0
15713899,Female,37,81900,1
15586744,Male,39,140700,1
15596509,Male,49,93450,1
15625382,Male,55,40950,1
15760557,Male,37,80850,0
15566676,Female,35,59850,0
15725781,Female,36,66150,0
15673526,Male,42,76650,1
15705285,Female,43,117600,1
15675778,Male,45,82950,0
15747030,Male,46,122850,1
15736384,Female,58,39900,1
15678188,Male,48,77700,1
15720732,Female,37,143850,1
15637580,Male,37,82950,1
15598057,Female,40,63000,0
15787537,Male,42,56700,0
15603929,Female,51,140700,0
15733960,Female,47,118650,1
15596748,Male,36,131250,1
15652387,Female,38,52500,0
15717880,Female,42,73500,0
15622572,Male,39,100800,1
15733951,Female,38,52500,0
15753848,Female,49,148050,1
15747084,Female,39,82950,0
15594749,Female,39,78750,1
15667404,Female,54,109200,1
15684848,Male,35,57750,0
15742191,Male,45,33600,1
15623489,Male,36,63000,0
15774859,Female,52,144900,1
15611178,Female,53,86100,1
15674318,Male,41,54600,0
15619452,Female,48,31500,1
15575234,Female,48,137550,1
15695666,Female,41,63000,0
15713450,Male,41,75600,0
15785157,Female,42,78750,0
15796338,Male,36,123900,1
15639563,Female,47,112350,1
15693251,Male,38,53550,0
15589702,Female,48,124950,1
15769889,Male,42,68250,0
15587164,Male,40,68250,0
15814540,Male,57,63000,1
15601537,Female,36,56700,0
15664894,Male,58,151200,1
15612452,Male,35,82950,0
15810787,Female,38,57750,0
15665747,Male,39,128100,1
15588067,Female,53,109200,1
15776831,Male,35,78750,0
15717547,Female,38,68250,0
15629726,Female,47,53550,1
15729895,Male,47,110250,1
15716768,Female,41,66150,0
15646923,Male,53,75600,1
15768138,Female,54,113400,1
15579199,Male,39,80850,0
15721822,Male,38,64050,0
15800502,Female,38,118650,1
15591266,Male,37,78750,0
15587406,Female,42,94500,1
15750322,Female,37,59850,0
15699606,Male,36,103950,1
15606459,Male,60,35700,1
15778355,Male,54,73500,1
15671374,Female,41,75600,0
15573913,Male,40,74550,1
15709170,Male,42,56700,0
15577501,Male,43,135450,1
15778817,Female,53,35700,1
15768059,Female,47,52500,1
15768280,Female,42,82950,0
15654443,Male,42,109200,1
15807512,Female,59,30450,1
15574359,Female,58,49350,1
15671236,Male,46,92400,1
15779731,Male,38,74550,0
15624742,Female,54,27300,1
15611417,Female,60,48300,1
15774731,Male,60,87150,1
15629872,Female,39,76650,0
15708778,Male,59,136500,1
15793877,Female,37,84000,0
15646078,Female,46,33600,1
15596971,Female,46,77700,0
15800202,Female,42,55650,0
15577793,Male,41,91350,1
15749368,Female,58,24150,1
15683745,Male,42,67200,0
15670602,Male,48,34650,1
15715609,Female,44,145950,1
15707621,Male,49,29400,1
15806888,Female,57,34650,1
15775322,Male,56,63000,1
15724137,Female,49,40950,1
15627207,Male,39,74550,0
15672317,Male,47,35700,1
15668508,Female,48,36750,1
15807824,Male,48,34650,1
15592557,Male,47,24150,1
15748576,Female,45,47250,1
15635880,Male,60,44100,1
15757619,Female,39,61950,0
15691850,Female,46,43050,1
15706058,Male,51,24150,1
15654283,Female,50,21000,1
15755005,Male,36,34650,0
15594028,Female,49,37800,1
